"","attack","battle","defend","adventure","fight","combat","discover_reveal","destroy_devastate_wreck","mission","strategy_tactics","rescue","solve","collect_gather","explore","defeat"
"605975",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"605993",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"633400",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"636040",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"643006",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"651559",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"652988",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"664240",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"669884",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"670455",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"691870",0,1,1,0,0,0,1,0,0,0,0,1,1,1,0
"997846",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"998171",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
