"","battle","move_special_move","explore","defend","discover_reveal","adventure","attack","fight","rescue","fast","race","solve","combat","destroy_devastate_wreck"
"915692",1,1,1,0,0,0,0,0,0,0,0,0,0,0
"932369",0,0,0,1,1,1,0,0,0,0,0,0,0,0
"932811",0,1,0,0,0,1,1,0,0,0,0,0,0,0
"933055",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"933063",0,0,0,0,0,0,1,1,1,1,0,0,0,0
"935659",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"936569",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"937971",1,0,0,0,0,0,0,0,0,0,0,1,1,0
"938142",0,0,0,0,0,0,0,1,1,0,0,1,0,0
"938517",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"938874",1,0,1,0,0,1,0,0,0,0,0,0,0,0
"939398",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"939417",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"941699",1,0,1,1,1,0,1,0,0,0,0,0,1,1
"942661",0,0,0,0,1,0,0,0,0,0,0,0,0,0
