"","defeat","war","the_earth","licensed_content_video_games","army","city","evil","magic","licensed_content_cultural_products","enemy","story","weapon","horde_wave_mass","team_group_crew_squad","mission","attack","fast","action","shoot","battle","destroy_devastate_wreck"
"926632",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"927013",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"928103",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"928517",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"933020",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"933066",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"934459",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"935058",0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0
"937003",0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"938546",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"939212",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
"939277",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"939731",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"942051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
