"","action","mystery","magic","battle","story","human_race_mankind","enemy","rescue","evil","team_group_crew_squad","level_stage","hero","weapon","dangerous","epic","realistic_accurate","licensed_content_video_games","licensed_content_cultural_products","adventure"
"620290",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633261",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672622",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"673089",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"677163",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"677790",0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"679653",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"679656",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"688499",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"693049",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"703378",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"703414",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"723581",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990608",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
