"","enemy","mystery","human_race_mankind","magic","hero","epic","story","evil","licensed_content_video_games","action","team_group_crew_squad","level_stage","move_special_move","licensed_content_cultural_products","city","destroy_devastate_wreck","tournament_competition"
"620881",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"630214",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"634488",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"641159",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"652997",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"660672",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"662021",0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
"667277",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"668999",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"687862",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"687863",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"936978",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"999533",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
